Photon Energy [eV],Spectral power [W/eV]
3.150320641282564975e+04,3.069995360153839753e-03
3.182364729458917645e+04,2.979411696637271692e-03
3.214408817635270316e+04,2.891526006614342052e-03
3.246452905811622986e+04,2.806256095009831628e-03
3.278496993987976020e+04,2.723523148356978875e-03
3.310541082164328691e+04,2.643250535500664411e-03
3.342585170340681361e+04,2.565364002098978642e-03
3.374629258517034032e+04,2.489791593264085740e-03
3.406673346693386702e+04,2.416463900071407801e-03
3.438717434869739373e+04,2.345312723205344139e-03
3.470761523046092043e+04,2.276272871308224113e-03
3.502805611222444713e+04,2.209280867329772770e-03
3.534849699398797384e+04,2.144275186053167404e-03
3.566893787575150054e+04,2.081196515941088464e-03
3.598937875751502725e+04,2.019986420894840772e-03
3.630981963927855395e+04,1.960589171199141664e-03
3.663026052104208065e+04,1.902950445689885863e-03
3.695070140280560736e+04,1.847017583489101713e-03
3.727114228456913406e+04,1.792739531487416368e-03
3.759158316633266077e+04,1.740066793604488514e-03
3.791202404809619475e+04,1.688951741769909119e-03
3.823246492985972145e+04,1.639347148436706919e-03
3.855290581162324816e+04,1.591208241748226677e-03
3.887334669338677486e+04,1.544491279319055565e-03
3.919378757515030156e+04,1.499153846287601876e-03
3.951422845691382827e+04,1.455154813880078953e-03
3.983466933867735497e+04,1.412454671099626444e-03
4.015511022044088168e+04,1.371014018453116899e-03
4.047555110220440838e+04,1.330795703092875655e-03
4.079599198396793508e+04,1.291763352539953853e-03
4.111643286573146179e+04,1.253881692574693001e-03
4.143687374749498849e+04,1.217116513249844392e-03
4.175731462925851520e+04,1.181435016666145454e-03
4.207775551102204190e+04,1.146804281643415586e-03
4.239819639278556861e+04,1.113193460272329967e-03
4.271863727454909531e+04,1.080572281220825185e-03
4.303907815631262201e+04,1.048911383201154212e-03
4.335951903807614872e+04,1.018182287014746676e-03
4.367995991983967542e+04,9.883573684922671194e-04
4.400040080160320213e+04,9.594102402970302711e-04
4.432084168336672883e+04,9.313141140520356459e-04
4.464128256513026281e+04,9.040441661151241582e-04
4.496172344689378951e+04,8.775759386316315256e-04
4.528216432865731622e+04,8.518857058086891972e-04
4.560260521042084292e+04,8.269504515918347978e-04
4.592304609218436963e+04,8.027482672744268126e-04
4.624348697394789633e+04,7.792566728427863503e-04
4.656392785571142304e+04,7.564550553292475384e-04
4.688436873747494974e+04,7.343230281970254941e-04
4.720480961923847644e+04,7.128408131437511839e-04
4.752525050100200315e+04,6.919892216508676409e-04
4.784569138276552985e+04,6.717500740236950893e-04
4.816613226452905656e+04,6.521044536322384653e-04
4.848657314629258326e+04,6.330352548419662141e-04
4.880701402805610996e+04,6.145254751192154438e-04
4.912745490981963667e+04,5.965586177667724869e-04
4.944789579158316337e+04,5.791186766582544871e-04
4.976833667334669008e+04,5.621905859277577652e-04
5.008877755511021678e+04,5.457583672973144451e-04
5.040921843687374349e+04,5.298078450550483759e-04
5.072965931863727019e+04,5.143248319591452698e-04
5.105010020040079689e+04,4.992960283304595992e-04
5.137054108216433087e+04,4.847071624086848277e-04
5.169098196392785758e+04,4.705457205842088404e-04
5.201142284569138428e+04,4.567991253924619591e-04
5.233186372745491099e+04,4.434556545116142201e-04
5.265230460921843769e+04,4.305025191513696045e-04
5.297274549098196439e+04,4.179286906136875758e-04
5.329318637274549110e+04,4.057235101820787443e-04
5.361362725450901780e+04,3.938751878158310493e-04
5.393406813627254451e+04,3.823741958166287491e-04
5.425450901803607121e+04,3.712101094360548007e-04
5.457494989979959792e+04,3.603720551384482487e-04
5.489539078156312462e+04,3.498511537345439025e-04
5.521583166332665132e+04,3.396380909618407240e-04
5.553627254509017803e+04,3.297238276850017816e-04
5.585671342685370473e+04,3.200995916927481416e-04
5.617715430861723144e+04,3.107568697430947418e-04
5.649759519038075814e+04,3.016873998492211432e-04
5.681803607214428484e+04,2.928831637985175769e-04
5.713847695390781155e+04,2.843363798975857707e-04
5.745891783567133825e+04,2.760394959362118066e-04
5.777935871743486496e+04,2.679851823635455324e-04
5.809979959919839166e+04,2.601663256699427709e-04
5.842024048096192564e+04,2.525760219681357139e-04
5.874068136272545235e+04,2.452075707675952410e-04
5.906112224448897905e+04,2.380544689361486956e-04
5.938156312625250575e+04,2.311104048431029175e-04
5.970200400801603246e+04,2.243692526783065070e-04
6.002244488977955916e+04,2.178250669417599109e-04
6.034288577154308587e+04,2.114720770985525694e-04
6.066332665330661257e+04,2.053046823940740662e-04
6.098376753507013927e+04,1.993174468246013153e-04
6.130420841683366598e+04,1.935050942585212744e-04
6.162464929859719268e+04,1.878625037035953113e-04
6.194509018036071939e+04,1.823847047158181516e-04
6.226553106212424609e+04,1.770668729455600777e-04
6.258597194388777280e+04,1.719043258168195007e-04
6.290641282565129950e+04,1.668925183355414812e-04
6.322685370741482620e+04,1.620270390230833205e-04
6.354729458917835291e+04,1.573036059710329225e-04
6.386773547094187961e+04,1.527180630137006320e-04
6.418817635270540632e+04,1.482663760147216172e-04
6.450861723446893302e+04,1.439446292643167770e-04
6.482905811623245972e+04,1.397490219838642934e-04
