Photon Energy [eV],Flux [photons/s/0.1%bw]
3.022144288577154293e+04,1.391250289297132227e+13
3.054188376753506964e+04,1.344188216396019922e+13
3.086232464929859634e+04,1.298729596393121875e+13
3.118276553106212305e+04,1.254818863927178516e+13
3.150320641282564975e+04,1.212402892178525781e+13
3.182364729458917645e+04,1.171430256882048633e+13
3.214408817635270316e+04,1.131851332916644922e+13
3.246452905811622986e+04,1.093618419670650000e+13
3.278496993987976020e+04,1.056684930880533398e+13
3.310541082164328691e+04,1.021006438647279688e+13
3.342585170340681361e+04,9.865398912705326172e+12
3.374629258517034032e+04,9.532439275793808594e+12
3.406673346693386702e+04,9.210780694538863281e+12
3.438717434869739373e+04,8.900037840673757812e+12
3.470761523046092043e+04,8.599837029597994141e+12
3.502805611222444713e+04,8.309817544486180664e+12
3.534849699398797384e+04,8.029633211599672852e+12
3.566893787575150054e+04,7.758943938503760742e+12
3.598937875751502725e+04,7.497427139675787109e+12
3.630981963927855395e+04,7.244769537026985352e+12
3.663026052104208065e+04,7.000668683507950195e+12
3.695070140280560736e+04,6.764834729976983398e+12
3.727114228456913406e+04,6.536981585874956055e+12
3.759158316633266077e+04,6.316839094083687500e+12
3.791202404809619475e+04,6.104144450976559570e+12
3.823246492985972145e+04,5.898643908935039062e+12
3.855290581162324816e+04,5.700094721551683594e+12
3.887334669338677486e+04,5.508255910860222656e+12
3.919378757515030156e+04,5.322901182703536133e+12
3.951422845691382827e+04,5.143809951392633789e+12
3.983466933867735497e+04,4.970771477143212891e+12
4.015511022044088168e+04,4.803575653187141602e+12
4.047555110220440838e+04,4.642025999557440430e+12
4.079599198396793508e+04,4.485930697071614258e+12
4.111643286573146179e+04,4.335104503038239746e+12
4.143687374749498849e+04,4.189370932532225098e+12
4.175731462925851520e+04,4.048552520339413574e+12
4.207775551102204190e+04,3.912484706390810547e+12
4.239819639278556861e+04,3.781006347047669434e+12
4.271863727454909531e+04,3.653964274894860352e+12
4.303907815631262201e+04,3.531203369917445801e+12
4.335951903807614872e+04,3.412580805543044434e+12
4.367995991983967542e+04,3.297956365211525391e+12
4.400040080160320213e+04,3.187197179952405273e+12
4.432084168336672883e+04,3.080167444002940430e+12
4.464128256513026281e+04,2.976743255441833496e+12
4.496172344689378951e+04,2.876805163473729492e+12
4.528216432865731622e+04,2.780230240511312012e+12
4.560260521042084292e+04,2.686907096321205566e+12
4.592304609218436963e+04,2.596728415420496582e+12
4.624348697394789633e+04,2.509582749540631836e+12
4.656392785571142304e+04,2.425372714158778320e+12
4.688436873747494974e+04,2.343993926068913086e+12
4.720480961923847644e+04,2.265358644982478516e+12
4.752525050100200315e+04,2.189365099753407715e+12
4.784569138276552985e+04,2.115926443824170410e+12
4.816613226452905656e+04,2.044957679150636719e+12
4.848657314629258326e+04,1.976375416615894775e+12
4.880701402805610996e+04,1.910099098759500977e+12
4.912745490981963667e+04,1.846050902782170654e+12
4.944789579158316337e+04,1.784155646917425537e+12
