E[eV] theta[mrad] theta[deg]
19560 12.9818 0.743802350482932
19570 12.9748 0.743401280026341
19580 12.9678 0.743000209569749
19590 12.9608 0.742599139113157
19600 12.9556 0.742301201059689
19610 12.9486 0.741900130603098
19620 12.9416 0.741499060146506
19630 12.9346 0.741097989689915
19640 12.9285 0.740748485434885
19650 12.9224 0.740398981179855
19660 12.9154 0.739997910723263
19670 12.9085 0.739602569844623
19680 12.9023 0.739247336011642
19690 12.8962 0.738897831756612
19700 12.8893 0.738502490877972
19710 12.8823 0.73810142042138
19720 12.8762 0.737751916166351
19730 12.8701 0.737402411911321
19740 12.8631 0.737001341454729
19750 12.857 0.7366518371997
19760 12.85 0.736250766743108
19770 12.8439 0.735901262488078
19780 12.8378 0.735551758233048
19790 12.8308 0.735150687776457
19800 12.8238 0.734749617319865
19810 12.8177 0.734400113064835
19820 12.8116 0.734050608809805
19830 12.8046 0.733649538353214
19840 12.7985 0.733300034098184
19850 12.7924 0.732950529843154
19860 12.7854 0.732549459386563
19870 12.7784 0.732148388929971
19880 12.7732 0.731850450876503
19890 12.7662 0.731449380419912
19900 12.7592 0.73104830996332
19910 12.754 0.730750371909852
19920 12.747 0.73034930145326
19930 12.7409 0.729999797198231
19940 12.7348 0.729650292943201
19950 12.7278 0.729249222486609
19960 12.7217 0.728899718231579
19970 12.7156 0.72855021397655
19980 12.7086 0.728149143519958
19990 12.7025 0.727799639264928
20000 12.6964 0.727450135009898
20010 12.6903 0.727100630754869
20020 12.6833 0.726699560298277
20030 12.6772 0.726350056043247
20040 12.6711 0.726000551788217
20050 12.665 0.725651047533188
20060 12.6589 0.725301543278158
20070 12.6519 0.724900472821566
20080 12.6458 0.724550968566537
20090 12.6397 0.724201464311507
20100 12.6327 0.723800393854915
20110 12.6275 0.723502455801447
20120 12.6205 0.723101385344855
20130 12.6152 0.722797717713436
20140 12.6083 0.722402376834796
20150 12.6013 0.722001306378204
20160 12.596 0.721697638746785
20170 12.5891 0.721302297868145
20180 12.5838 0.720998630236725
20190 12.5768 0.720597559780134
20200 12.5707 0.720248055525104
20210 12.5646 0.719898551270074
20220 12.5585 0.719549047015044
20230 12.5524 0.719199542760015
20240 12.5463 0.718850038504985
20250 12.5402 0.718500534249955
20260 12.5332 0.718099463793363
20270 12.528 0.717801525739895
20280 12.521 0.717400455283304
20290 12.5149 0.717050951028274
20300 12.5088 0.716701446773244
20310 12.5027 0.716351942518214
20320 12.4966 0.716002438263185
20330 12.4904 0.715647204430203
20340 12.4843 0.715297700175174
20350 12.4782 0.714948195920144
20360 12.4721 0.714598691665114
20370 12.466 0.714249187410084
20380 12.4599 0.713899683155054
20390 12.4538 0.713550178900025
20400 12.4486 0.713252240846557
20410 12.4416 0.712851170389965
20420 12.4363 0.712547502758546
20430 12.4294 0.712152161879905
20440 12.4241 0.711848494248486
20450 12.4171 0.711447423791894
20460 12.4119 0.711149485738426
20470 12.4049 0.710748415281835
20480 12.3997 0.710450477228367
20490 12.3927 0.710049406771775
20500 12.3875 0.709751468718307
20510 12.3814 0.709401964463277
20520 12.3753 0.709052460208248
20530 12.3691 0.708697226375267
20540 12.363 0.708347722120237
20550 12.3569 0.707998217865207
20560 12.3508 0.707648713610177
20570 12.3456 0.707350775556709
20580 12.3395 0.707001271301679
20590 12.3334 0.706651767046649
20600 12.3273 0.70630226279162
20610 12.3212 0.70595275853659
20620 12.315 0.705597524703609
20630 12.3098 0.705299586650141
20640 12.3028 0.704898516193549
20650 12.2976 0.704600578140081
20660 12.2915 0.704251073885051
20670 12.2854 0.703901569630022
20680 12.2801 0.703597901998602
20690 12.2732 0.703202561119962
20700 12.2679 0.702898893488543
20710 12.2627 0.702600955435075
20720 12.2557 0.702199884978483
20730 12.2505 0.701901946925015
20740 12.2435 0.701500876468423
20750 12.2382 0.701197208837004
20760 12.233 0.700899270783536
20770 12.226 0.700498200326945
20780 12.2208 0.700200262273477
20790 12.2147 0.699850758018447
