E[eV] theta[mrad] theta[deg]
7850 20.4134 1.16960166551235
7860 20.3872 1.16810051608911
7870 20.3619 1.16665093286743
7880 20.3357 1.16514978344419
7890 20.3113 1.16375176642407
7900 20.2851 1.16225061700083
7910 20.2589 1.16074946757758
7920 20.2336 1.1592998843559
7930 20.2083 1.15785030113422
7940 20.183 1.15640071791254
7950 20.1577 1.15495113469086
7960 20.1324 1.15350155146918
7970 20.1071 1.1520519682475
7980 20.0818 1.15060238502582
7990 20.0565 1.14915280180414
8000 20.032 1.14774905520607
8010 20.0067 1.14629947198438
8020 19.9823 1.14490145496426
8030 19.957 1.14345187174258
8040 19.9325 1.14204812514451
8050 19.9081 1.14065010812439
8060 19.8837 1.13925209110428
8070 19.8584 1.13780250788259
8080 19.8339 1.13639876128452
8090 19.8095 1.1350007442644
8100 19.7851 1.13360272724429
8110 19.7606 1.13219898064621
8120 19.7362 1.1308009636261
8130 19.7118 1.12940294660598
8140 19.6882 1.12805076620947
8150 19.6638 1.12665274918935
8160 19.6393 1.12524900259128
8170 19.6158 1.12390255177272
8180 19.5913 1.12249880517465
8190 19.5686 1.1211981909797
8200 19.5442 1.11980017395958
8210 19.5206 1.11844799356308
8220 19.4962 1.11704997654296
8230 19.4735 1.11574936234801
8240 19.4491 1.11435134532789
8250 19.4264 1.11305073113294
8260 19.4028 1.11169855073643
8270 19.3793 1.11035209991788
8280 19.3557 1.10899991952137
8290 19.333 1.10769930532642
8300 19.3086 1.1063012883063
8310 19.2859 1.10500067411135
8320 19.2623 1.10364849371485
8330 19.2396 1.1023478795199
8340 19.2169 1.10104726532495
8350 19.1943 1.09975238070796
8360 19.1707 1.09840020031145
8370 19.148 1.0970995861165
8380 19.1253 1.09579897192155
8390 19.1026 1.09449835772661
8400 19.0799 1.09319774353166
8410 19.0573 1.09190285891466
8420 19.0346 1.09060224471972
8430 19.0127 1.08934746714838
8440 18.9901 1.08805258253139
8450 18.9674 1.08675196833644
8460 18.9447 1.08545135414149
8470 18.9229 1.08420230614811
8480 18.9002 1.08290169195316
8490 18.8775 1.08160107775821
8500 18.8557 1.08035202976483
8510 18.8338 1.07909725219349
8520 18.812 1.0778482042001
8530 18.7893 1.07654759000516
8540 18.7675 1.07529854201177
8550 18.7457 1.07404949401839
8560 18.7239 1.072800446025
8570 18.7021 1.07155139803162
8580 18.6803 1.07030235003823
8590 18.6584 1.0690475724669
8600 18.6375 1.06785009067507
8610 18.6148 1.06654947648012
8620 18.5939 1.0653519946883
8630 18.572 1.06409721711696
8640 18.5511 1.06289973532514
8650 18.5293 1.06165068733176
8660 18.5075 1.06040163933837
8670 18.4865 1.0591984279686
8680 18.4656 1.05800094617677
8690 18.4446 1.056797734807
8700 18.4228 1.05554868681361
8710 18.4019 1.05435120502179
8720 18.3809 1.05314799365202
8730 18.36 1.05195051186019
8740 18.339 1.05074730049042
8750 18.3181 1.04954981869859
8760 18.298 1.04839817353038
8770 18.2771 1.04720069173856
8780 18.2561 1.04599748036878
8790 18.2352 1.04479999857696
8800 18.2143 1.04360251678514
8810 18.1942 1.04245087161692
8820 18.1732 1.04124766024715
8830 18.1523 1.04005017845532
8840 18.1322 1.03889853328711
8850 18.1113 1.03770105149529
8860 18.0912 1.03654940632708
8870 18.0711 1.03539776115886
8880 18.0502 1.03420027936704
8890 18.0301 1.03304863419883
8900 18.0101 1.03190271860856
8910 17.99 1.03075107344035
8920 17.969 1.02954786207058
8930 17.9498 1.02844778310393
8940 17.9298 1.02730186751366
8950 17.9097 1.02615022234545
8960 17.8896 1.02499857717724
8970 17.8704 1.02389849821059
8980 17.8495 1.02270101641876
8990 17.8303 1.02160093745211
