Energy [eV],Flux [Phot/sec/0.1%bw]
1.718858858858858730e+04,5.985866653500761719e+13
1.724854854854854784e+04,5.954180806129394531e+13
1.730850850850850838e+04,5.922686017006983594e+13
1.736846846846846893e+04,5.891380806379628125e+13
1.742842842842842947e+04,5.860263529519153125e+13
1.748838838838839001e+04,5.829332743166035156e+13
1.754834834834834692e+04,5.798586962031074219e+13
1.760830830830830746e+04,5.768024718939612500e+13
1.766826826826826800e+04,5.737644564514547656e+13
1.772822822822822855e+04,5.707445066871767969e+13
1.778818818818818909e+04,5.677424811320040625e+13
1.784814814814814963e+04,5.647582400065321094e+13
1.790810810810810653e+04,5.617916451926146875e+13
1.796806806806806708e+04,5.588425666650301562e+13
1.802802802802802762e+04,5.559108567619752344e+13
1.808798798798798816e+04,5.529963885045714062e+13
1.814794794794794871e+04,5.500990301418580469e+13
1.820790790790790925e+04,5.472186514483208594e+13
1.826786786786786615e+04,5.443551236985550781e+13
1.832782782782782670e+04,5.415083196419535938e+13
1.838778778778778724e+04,5.386781134786118750e+13
1.844774774774774778e+04,5.358643808351237500e+13
1.850770770770770832e+04,5.330669987412014844e+13
1.856766766766766887e+04,5.302858522940237500e+13
1.862762762762762941e+04,5.275208080260911719e+13
1.868758758758758631e+04,5.247717535901580469e+13
1.874754754754754686e+04,5.220385714026069531e+13
1.880750750750750740e+04,5.193211451725472656e+13
1.886746746746746794e+04,5.166193598806195312e+13
1.892742742742742848e+04,5.139331017586737500e+13
1.898738738738738903e+04,5.112622582702057812e+13
1.904734734734734593e+04,5.086067180901002344e+13
1.910730730730730647e+04,5.059663710858512500e+13
1.916726726726726702e+04,5.033411151560292188e+13
1.922722722722722756e+04,5.007308289212359375e+13
1.928718718718718810e+04,4.981354124359976562e+13
1.934714714714714864e+04,4.955547601531732031e+13
1.940710710710710555e+04,4.929887676276882812e+13
1.946706706706706609e+04,4.904373314993732031e+13
1.952702702702702663e+04,4.879003494762808594e+13
1.958698698698698718e+04,4.853777203182210156e+13
1.964694694694694772e+04,4.828693438207242188e+13
1.970690690690690826e+04,4.803751207992962500e+13
1.976686686686686517e+04,4.778949530739683594e+13
1.982682682682682571e+04,4.754287505578247656e+13
1.988678678678678625e+04,4.729764029662762500e+13
1.994674674674674679e+04,4.705378220100863281e+13
2.000670670670670734e+04,4.681129133784160156e+13
2.006666666666666788e+04,4.657015836921331250e+13
2.012662662662662842e+04,4.633037404897838281e+13
2.018658658658658533e+04,4.609192922140591406e+13
2.024654654654654587e+04,4.585481481988440625e+13
2.030650650650650641e+04,4.561902186560052344e+13
2.036646646646646695e+04,4.538454146625071875e+13
2.042642642642642750e+04,4.515136481481951562e+13
2.048638638638638804e+04,4.491948391651641406e+13
2.054634634634634494e+04,4.468888868864662500e+13
2.060630630630630549e+04,4.445957128738123438e+13
2.066626626626626603e+04,4.423152323474273438e+13
2.072622622622622657e+04,4.400473613214278125e+13
2.078618618618618711e+04,4.377920165922696094e+13
2.084614614614614766e+04,4.355491157279489062e+13
2.090610610610610456e+04,4.333185770571571094e+13
2.096606606606606510e+04,4.311003196587727344e+13
2.102602602602602565e+04,4.288942633515261719e+13
2.108598598598598619e+04,4.267003286837095312e+13
2.114594594594594673e+04,4.245184369233366406e+13
2.120590590590590728e+04,4.223485175678142969e+13
2.126586586586586418e+04,4.201904783932929688e+13
2.132582582582582472e+04,4.180442501529214844e+13
2.138578578578578527e+04,4.159097568968919531e+13
2.144574574574574581e+04,4.137869233477913281e+13
2.150570570570570635e+04,4.116756748915785156e+13
2.156566566566566689e+04,4.095759375686696094e+13
2.162562562562562744e+04,4.074876380656471094e+13
2.168558558558558434e+04,4.054107037065175000e+13
2.174554554554554488e+04,4.033450624442418750e+13
2.180550550550550543e+04,4.012906428529681250e+13
