Photon Energy [eV],Flux [Photons/s/0.1%bw]
1.032344689378757466e+05,1.577602373032934189e+09
1.035931863727454911e+05,1.534859173387245893e+09
1.039519038076152210e+05,1.493259226129525661e+09
1.043106212424849655e+05,1.452772466221962690e+09
1.046693386773547099e+05,1.413369601201864481e+09
1.050280561122244399e+05,1.375022091977758646e+09
1.053867735470941843e+05,1.337702134078874350e+09
1.057454909819639288e+05,1.301382639348293781e+09
1.061042084168336587e+05,1.266037218070066690e+09
1.064629258517034032e+05,1.231640161520914316e+09
1.068216432865731476e+05,1.198166424937237501e+09
1.071803607214428775e+05,1.165591610888318300e+09
1.075390781563126220e+05,1.133891953046787262e+09
1.078977955911823665e+05,1.103044300347596645e+09
1.082565130260520964e+05,1.073026101526900649e+09
1.086152304609218409e+05,1.043815390032386303e+09
1.089739478957915853e+05,1.015390769296797276e+09
1.093326653306613152e+05,9.877313983665117025e+08
1.096913827655310597e+05,9.608169778772271872e+08
1.100501002004008042e+05,9.346277363689390421e+08
1.104088176352705341e+05,9.091444169325511456e+08
1.107675350701402785e+05,8.843482641806185246e+08
1.111262525050100085e+05,8.602210115348770618e+08
1.114849699398797529e+05,8.367448688233257532e+08
1.118436873747494974e+05,8.139025101798293591e+08
1.122024048096192273e+05,7.916770622392928600e+08
1.125611222444889718e+05,7.700520926216392517e+08
1.129198396793587162e+05,7.490115986979501247e+08
1.132785571142284462e+05,7.285399966322594881e+08
1.136372745490981906e+05,7.086221106926167011e+08
1.139959919839679351e+05,6.892431628252071142e+08
1.143547094188376650e+05,6.703887624853917360e+08
1.147134268537074095e+05,6.520448967196946144e+08
1.150721442885771539e+05,6.341979204928879738e+08
1.154308617234468838e+05,6.168345472544331551e+08
1.157895791583166283e+05,5.999418397386673689e+08
1.161482965931863728e+05,5.835072009932523966e+08
1.165070140280561027e+05,5.675183656304993629e+08
1.168657314629258472e+05,5.519633912963163853e+08
1.172244488977955916e+05,5.368306503516443372e+08
1.175831663326653215e+05,5.221088217613270283e+08
1.179418837675350660e+05,5.077868831855007410e+08
1.183006012024048105e+05,4.938541032686970830e+08
1.186593186372745404e+05,4.803000341219261289e+08
1.190180360721442848e+05,4.671145039931469560e+08
1.193767535070140293e+05,4.542876101216182709e+08
1.197354709418837592e+05,4.418097117717152834e+08
1.200941883767535037e+05,4.296714234419056177e+08
1.204529058116232482e+05,4.178636082446811795e+08
1.208116232464929781e+05,4.063773714533128738e+08
1.211703406813627225e+05,3.952040542114070058e+08
1.215290581162324524e+05,3.843352274013357162e+08
1.218877755511021969e+05,3.737626856676802635e+08
1.222464929859719414e+05,3.634784415919334292e+08
1.226052104208416713e+05,3.534747200147905350e+08
1.229639278557114158e+05,3.437439525024269223e+08
1.233226452905811602e+05,3.342787719532633424e+08
1.236813627254508901e+05,3.250720073417800069e+08
1.240400801603206346e+05,3.161166785960348845e+08
1.243987975951903791e+05,3.074059916056136489e+08
1.247575150300601090e+05,2.989333333568040729e+08
1.251162324649298534e+05,2.906922671918795109e+08
1.254749498997995979e+05,2.826765281894373894e+08
1.258336673346693278e+05,2.748800186628078222e+08
1.261923847695390723e+05,2.672968037736192644e+08
1.265511022044088168e+05,2.599211072576890886e+08
1.269098196392785467e+05,2.527473072604454160e+08
1.272685370741482911e+05,2.457699322791764140e+08
