#F spectrum.dat

#S 1 Wiggler spectrum
#N 3
#L PhotonEnergy[eV]  Flux[phot/s/0.1%bw]  PowerDensity[W/eV]
 9.040080160321e+03   1.326351520367e+14   2.125049414403e-02  
 9.158316633267e+03   1.308617151968e+14   2.096635823735e-02  
 9.276553106212e+03   1.291241072173e+14   2.068796274697e-02  
 9.394789579158e+03   1.274212298049e+14   2.041513170690e-02  
 9.513026052104e+03   1.257520280782e+14   2.014769610650e-02  
 9.631262525050e+03   1.241154853368e+14   1.988549305241e-02  
 9.749498997996e+03   1.225106242505e+14   1.962836595910e-02  
 9.867735470942e+03   1.209365013072e+14   1.937616365921e-02  
 9.985971943888e+03   1.193922096763e+14   1.912874086250e-02  
 1.010420841683e+04   1.178768777787e+14   1.888595792660e-02  
 1.022244488978e+04   1.163896639424e+14   1.864768000076e-02  
 1.034068136273e+04   1.149297602235e+14   1.841377763813e-02  
 1.045891783567e+04   1.134963857290e+14   1.818412572584e-02  
 1.057715430862e+04   1.120887900257e+14   1.795860403125e-02  
 1.069539078156e+04   1.107062499735e+14   1.773709669454e-02  
 1.081362725451e+04   1.093480685246e+14   1.751949203631e-02  
 1.093186372745e+04   1.080135749072e+14   1.730568258711e-02  
 1.105010020040e+04   1.067021235467e+14   1.709556491448e-02  
 1.116833667335e+04   1.054130888684e+14   1.688903879027e-02  
 1.128657314629e+04   1.041458725656e+14   1.668600835522e-02  
 1.140480961924e+04   1.028998943693e+14   1.648638063996e-02  
 1.152304609218e+04   1.016745947622e+14   1.629006599995e-02  
 1.164128256513e+04   1.004694360832e+14   1.609697829236e-02  
 1.175951903808e+04   9.928389909236e+13   1.590703432582e-02  
 1.187775551102e+04   9.811748338135e+13   1.572015392605e-02  
 1.199599198397e+04   9.696970618290e+13   1.553625974521e-02  
 1.211422845691e+04   9.584010040325e+13   1.535527694663e-02  
 1.223246492986e+04   9.472821648805e+13   1.517713350376e-02  
 1.235070140281e+04   9.363362010040e+13   1.500175982817e-02  
 1.246893787575e+04   9.255589184612e+13   1.482908872549e-02  
 1.258717434870e+04   9.149462676937e+13   1.465905531464e-02  
 1.270541082164e+04   9.044943374716e+13   1.449159693082e-02  
 1.282364729459e+04   8.941993487688e+13   1.432665302735e-02  
 1.294188376754e+04   8.840576505454e+13   1.416416510813e-02  
 1.306012024048e+04   8.740657140679e+13   1.400407663660e-02  
 1.317835671343e+04   8.642201231407e+13   1.384633287929e-02  
 1.329659318637e+04   8.545175937644e+13   1.369088122071e-02  
 1.341482965932e+04   8.449549219470e+13   1.353767032727e-02  
 1.353306613226e+04   8.355290265609e+13   1.338665083385e-02  
 1.365130260521e+04   8.262369270805e+13   1.323777498716e-02  
 1.376953907816e+04   8.170757244791e+13   1.309099633969e-02  
 1.388777555110e+04   8.080426264243e+13   1.294627015333e-02  
 1.400601202405e+04   7.991349298954e+13   1.280355312092e-02  
 1.412424849699e+04   7.903500123846e+13   1.266280322524e-02  
 1.424248496994e+04   7.816853233106e+13   1.252397960149e-02  
 1.436072144289e+04   7.731383949315e+13   1.238704271207e-02  
 1.447895791583e+04   7.647068563118e+13   1.225195457042e-02  
 1.459719438878e+04   7.563883840095e+13   1.211867795089e-02  
 1.471543086172e+04   7.481807399157e+13   1.198717699502e-02  
 1.483366733467e+04   7.400817483621e+13   1.185741684476e-02  
 1.495190380762e+04   7.320893040244e+13   1.172936376909e-02  
 1.507014028056e+04   7.242013478171e+13   1.160298477784e-02  
 1.518837675351e+04   7.164158965845e+13   1.147824809734e-02  
 1.530661322645e+04   7.087310197409e+13   1.135512279620e-02  
 1.542484969940e+04   7.011448479838e+13   1.123357892489e-02  
 1.554308617234e+04   6.936555488134e+13   1.111358712353e-02  
 1.566132264529e+04   6.862613577287e+13   1.099511912170e-02  
 1.577955911824e+04   6.789605544614e+13   1.087814735766e-02  
 1.589779559118e+04   6.717514723709e+13   1.076264512888e-02  
 1.601603206413e+04   6.646324736633e+13   1.064858619501e-02  
 1.613426853707e+04   6.576019818320e+13   1.053594529763e-02  
 1.625250501002e+04   6.506584575632e+13   1.042469777422e-02  
 1.637074148297e+04   6.438004086892e+13   1.031481971761e-02  
 1.648897795591e+04   6.370263652002e+13   1.020628757566e-02  
 1.660721442886e+04   6.303349126664e+13   1.009907868669e-02  
 1.672545090180e+04   6.237246679082e+13   9.993170889720e-03  
 1.684368737475e+04   6.171942893892e+13   9.888542690977e-03  
 1.696192384770e+04   6.107424521327e+13   9.785172861988e-03  
 1.708016032064e+04   6.043678818527e+13   9.683040986445e-03  
 1.719839679359e+04   5.980693305026e+13   9.582127068432e-03  
