Photon Energy [eV],Flux [Photons/s/0.1%bw]
3.579559118236472568e+04,1.965204556661325041e+05
3.615430861723447015e+04,2.747557745309955790e+05
3.651302605210420734e+04,3.792256104407836101e+05
3.687174348697394453e+04,5.170257790647018701e+05
3.723046092184368899e+04,6.966725654456245247e+05
3.758917835671342618e+04,9.282663504233993590e+05
3.794789579158316337e+04,1.223650180346133653e+06
3.830661322645290056e+04,1.596558450331189902e+06
3.866533066132264503e+04,2.062750802026217803e+06
3.902404809619238222e+04,2.640126046671663411e+06
3.938276553106211941e+04,3.348811952972089406e+06
3.974148296593186387e+04,4.211225763276667334e+06
4.010020040080160106e+04,5.255204114734916016e+06
4.045891783567133825e+04,6.515396021306970157e+06
4.081763527054108272e+04,8.015613170161589980e+06
4.117635270541081991e+04,9.788431692355103791e+06
4.153507014028055710e+04,1.186858598205766641e+07
4.189378757515030156e+04,1.429279594112236425e+07
4.225250501002003875e+04,1.709955035105044395e+07
4.261122244488977594e+04,2.032885136666316167e+07
4.296993987975952041e+04,2.402192211856659502e+07
4.332865731462925760e+04,2.822088148605911061e+07
4.368737474949899479e+04,3.296839063396178186e+07
4.404609218436873925e+04,3.830727746951613575e+07
4.440480961923847644e+04,4.428013896318648756e+07
4.476352705410821363e+04,5.092894082144697756e+07
4.512224448897795082e+04,5.829460315278011560e+07
4.548096192384769529e+04,6.641659076505354792e+07
4.583967935871743248e+04,7.533250918730883300e+07
4.619839679358716967e+04,8.507771289679986238e+07
4.655711422845691413e+04,9.568493110673312843e+07
4.691583166332665132e+04,1.071839185857329071e+08
4.727454909819638851e+04,1.196011211066660285e+08
4.763326653306613298e+04,1.329593951192940623e+08
4.799198396793587017e+04,1.472777387222364843e+08
4.835070140280560736e+04,1.625710700448517203e+08
4.870941883767535182e+04,1.788500419745900035e+08
4.906813627254508901e+04,1.961208966302485466e+08
4.942685370741482620e+04,2.143853602700900137e+08
4.978557114228456339e+04,2.336405843637228012e+08
5.014428857715430786e+04,2.539499140829100907e+08
5.050300601202404505e+04,2.753517394782021642e+08
5.086172344689378224e+04,2.977295092503088713e+08
5.122044088176352670e+04,3.210624742795195580e+08
5.157915831663326389e+04,3.453254425158798695e+08
5.193787575150300108e+04,3.704889317774742842e+08
5.229659318637274555e+04,3.965193523388063312e+08
5.265531062124248274e+04,4.233792149138653278e+08
5.301402805611221993e+04,4.510273643911007047e+08
5.337274549098196439e+04,4.794192317992846966e+08
5.373146292585170158e+04,5.085071044160716534e+08
5.409018036072143877e+04,5.382404096990844011e+08
5.444889779559118324e+04,5.685660100476455688e+08
5.480761523046092043e+04,5.994285161852684021e+08
5.516633266533065762e+04,6.307705532019088268e+08
5.552505010020040208e+04,6.625331304771089554e+08
5.588376753507013927e+04,6.946559121341024637e+08
5.624248496993987646e+04,7.270775329229322672e+08
5.660120240480961365e+04,7.597358937913646698e+08
5.695991983967935812e+04,7.925684791098651886e+08
5.731863727454909531e+04,8.255126086600048542e+08
5.767735470941883250e+04,8.585057345399403572e+08
5.803607214428857696e+04,8.914856818594119549e+08
5.839478957915831415e+04,9.243909656410937309e+08
5.875350701402805134e+04,9.571609293025499582e+08
5.911222444889779581e+04,9.897360105193793774e+08
5.947094188376753300e+04,1.022058006120426416e+09
5.982965931863727019e+04,1.054070124014362812e+09
6.018837675350701466e+04,1.085832255113588333e+09
6.054709418837675184e+04,1.117288346944809437e+09
6.090581162324648903e+04,1.148270381276519060e+09
6.126452905811622622e+04,1.178736733660966158e+09
6.162324649298597069e+04,1.208639869023388624e+09
6.198196392785570788e+04,1.237934560279836178e+09
6.234068136272544507e+04,1.266577968789602280e+09
6.269939879759518954e+04,1.294529709951947689e+09
6.305811623246492672e+04,1.321751904519153833e+09
6.341683366733466391e+04,1.348209216252029896e+09
6.377555110220440838e+04,1.373868876588628769e+09
6.413426853707414557e+04,1.398700697031748295e+09
6.449298597194388276e+04,1.422677069986588717e+09
6.485170340681362723e+04,1.445772958797386646e+09
6.521042084168336442e+04,1.467965877742350578e+09
6.556913827655310160e+04,1.489235862749746323e+09
6.592785571142284607e+04,1.509565433594713688e+09
6.628657314629259054e+04,1.528939548329111338e+09
6.664529058116232045e+04,1.547345550683334351e+09
6.700400801603206492e+04,1.564773111162358522e+09
6.736272545090179483e+04,1.581214162537412167e+09
6.772144288577153930e+04,1.596662830411791325e+09
6.808016032064128376e+04,1.611115359512275934e+09
6.843887775551101367e+04,1.624570036330694437e+09
6.879759519038075814e+04,1.637027108709560871e+09
6.915631262525050261e+04,1.648488702935515165e+09
6.951503006012023252e+04,1.658958738872183323e+09
6.987374749498997699e+04,4.320202204979948583e+05
7.023246492985972145e+04,4.850186527224442107e+05
7.059118236472945136e+04,5.430811780345821753e+05
7.094989979959919583e+04,6.065240236475934507e+05
7.130861723446894030e+04,6.756668358784299344e+05
7.166733466933867021e+04,7.508312481682158541e+05
7.202605210420841468e+04,8.323393747498971643e+05
7.238476953907815914e+04,9.205122401465908624e+05
7.274348697394788906e+04,1.015668155440463102e+06
7.310220440881763352e+04,1.118121052881539334e+06
7.346092184368737799e+04,1.228178790903285146e+06
7.381963927855710790e+04,1.346141441971196095e+06
7.417835671342685237e+04,1.472299575911764055e+06
7.453707414829659683e+04,1.606932551451275125e+06
7.489579158316632675e+04,1.750306828638027422e+06
7.525450901803607121e+04,1.902674314635016024e+06
7.561322645290580112e+04,2.064270755055058515e+06
7.597194388777554559e+04,2.235314182575522456e+06
7.633066132264529006e+04,2.416003434025817085e+06
7.668937875751501997e+04,2.606516746491286904e+06
7.704809619238476444e+04,2.807010442243737169e+06
7.740681362725450890e+04,3.017617711486688815e+06
7.776553106212423882e+04,3.238447501025044359e+06
7.812424849699398328e+04,3.469583516024276614e+06
7.848296593186372775e+04,3.711083341046761256e+06
7.884168336673345766e+04,3.962977685533999465e+06
7.920040080160320213e+04,4.225269757880360819e+06
7.955911823647294659e+04,4.497934771194700152e+06
7.991783567134267651e+04,4.780919582821523771e+06
8.027655310621242097e+04,5.074344745961912908e+06
8.063527054108216544e+04,5.377998897351670079e+06
8.099398797595189535e+04,5.691713638956249692e+06
8.135270541082163982e+04,6.015354266181749292e+06
8.171142284569138428e+04,6.348761809756539762e+06
8.207014028056111420e+04,6.691753427950019948e+06
8.242885771543085866e+04,7.044122886743721552e+06
8.278757515030060313e+04,7.405641123541131616e+06
8.314629258517033304e+04,7.776056889708969742e+06
8.350501002004007751e+04,8.155097466963364743e+06
8.386372745490982197e+04,8.542469452416295186e+06
8.422244488977955189e+04,8.937859606919150800e+06
8.458116232464929635e+04,9.340935761213419959e+06
8.493987975951904082e+04,9.751347774321964011e+06
8.529859719438877073e+04,1.016872853856030293e+07
8.565731462925851520e+04,1.059269502554240637e+07
8.601603206412825966e+04,1.102284936758626997e+07
8.637474949899798958e+04,1.145877996897321008e+07
8.673346693386773404e+04,1.190006264161679521e+07
8.709218436873747851e+04,1.234626175979398377e+07
8.745090180360720842e+04,1.279693142875299416e+07
8.780961923847695289e+04,1.325161666214992478e+07
8.816833667334668280e+04,1.370985456346632913e+07
8.852705410821642727e+04,1.417117550674496964e+07
8.888577154308617173e+04,1.463510431219709478e+07
8.924448897795590165e+04,1.510116141245646961e+07
8.960320641282564611e+04,1.556886400549021177e+07
8.996192384769539058e+04,1.603772719041576982e+07
9.032064128256512049e+04,1.650726508272015862e+07
9.067935871743486496e+04,1.697699190562948212e+07
9.103807615230460942e+04,1.744642305462613329e+07
9.139679358717433934e+04,1.791507613236577436e+07
9.175551102204408380e+04,1.838247195150392130e+07
9.211422845691382827e+04,1.884813550317192823e+07
9.247294589178355818e+04,1.931159688911645114e+07
9.283166332665330265e+04,1.977239221573193744e+07
9.319038076152304711e+04,2.023006444846312702e+07
9.354909819639277703e+04,2.068416422528477013e+07
9.390781563126252149e+04,2.113425062817393243e+07
9.426653306613226596e+04,2.157989191172384098e+07
9.462525050100199587e+04,2.202066618823008612e+07
9.498396793587174034e+04,2.245616206878964230e+07
9.534268537074148480e+04,2.288597926013480127e+07
9.570140280561121472e+04,2.330972911710370705e+07
9.606012024048095918e+04,2.372703515080107376e+07
