Photon Energy [eV],Flux [Photons/s/0.1%bw]
3.579559118236472568e+04,6.648293335996887970e+10
3.615430861723447015e+04,6.677698534728887177e+10
3.651302605210420734e+04,6.699746354279710388e+10
3.687174348697394453e+04,6.714711223930889130e+10
3.723046092184368899e+04,6.722874591131357574e+10
3.758917835671342618e+04,6.724522254139332581e+10
3.794789579158316337e+04,6.719942637093088531e+10
3.830661322645290056e+04,6.709425119670346832e+10
3.866533066132264503e+04,6.693258698376065063e+10
3.902404809619238222e+04,6.671730105522041321e+10
3.938276553106211941e+04,6.645123495652062225e+10
3.974148296593186387e+04,6.613718898934335327e+10
4.010020040080160106e+04,6.577773792586695862e+10
4.045891783567133825e+04,6.537533804378568268e+10
4.081763527054108272e+04,6.493309066390974426e+10
4.117635270541081991e+04,6.445356560389118958e+10
4.153507014028055710e+04,6.393925572609106445e+10
4.189378757515030156e+04,6.339258241913746643e+10
4.225250501002003875e+04,6.281588735267092133e+10
4.261122244488977594e+04,6.221143203690937042e+10
4.296993987975952041e+04,6.158139657919406128e+10
4.332865731462925760e+04,6.092787897300989532e+10
4.368737474949899479e+04,6.025289485758772278e+10
4.404609218436873925e+04,5.955837922372077179e+10
4.440480961923847644e+04,5.884618092691197968e+10
4.476352705410821363e+04,5.811807240010451508e+10
4.512224448897795082e+04,5.737574496103764343e+10
4.548096192384769529e+04,5.662081158411919403e+10
4.583967935871743248e+04,5.585480844059169769e+10
4.619839679358716967e+04,5.507919660059367371e+10
4.655711422845691413e+04,5.429536387015801239e+10
4.691583166332665132e+04,5.350462801316370392e+10
4.727454909819638851e+04,5.270823376462863922e+10
4.763326653306613298e+04,5.190736232898245239e+10
4.799198396793587017e+04,5.110312866970297241e+10
4.835070140280560736e+04,5.029658487859641266e+10
4.870941883767535182e+04,4.948872236903797913e+10
4.906813627254508901e+04,4.868047407329946136e+10
4.942685370741482620e+04,4.787271663579181671e+10
4.978557114228456339e+04,4.706627372813482666e+10
5.014428857715430786e+04,4.626196459625344849e+10
5.050300601202404505e+04,4.546052830351911926e+10
5.086172344689378224e+04,4.466255637213613129e+10
5.122044088176352670e+04,4.386867482542478943e+10
5.157915831663326389e+04,4.307946633724018097e+10
5.193787575150300108e+04,4.229547214547567749e+10
5.229659318637274555e+04,4.151719394506375885e+10
5.265531062124248274e+04,4.074509560435959625e+10
5.301402805611221993e+04,3.997960507593724823e+10
5.337274549098196439e+04,3.922111602011048889e+10
5.373146292585170158e+04,3.846998948669147491e+10
