Photon Energy [eV],[oe 1] Transmitivity 100umAl,[oe 2] Transmitivity 200umAl,[oe 3] Transmitivity 500umAl,[oe 2] Transmitivity 1mmAl,[oe 4] Transmitivity 10umCu,[oe 5] Transmitivity 20umCu,[oe 3] Transmitivity 50umCu,[oe 4] Transmitivity 10umFe,[oe 5] Transmitivity 50umFe,[oe 3] Transmitivity 75umPd,[oe 1] Transmitivity 5mmGraphite,[oe 2] Transmitivity 20mmGraphite,[oe 1] Transmitivity 700umCVD,[oe 4] Transmitivity 1mAir,[oe 1] Transmitivity_1.5mmSi,[oe 2] Transmitivity_25umMo
12691.5915915916,0.703973142610221,0.49557818551651,0.172894211409548,0.029892408338929,0.351245673184232,0.123373522930644,0.005346319580236,0.492309401657778,0.028919491208226,0.005248860160217,0.334685335768294,0.012547197574894,0.740159114132247,0.737595925631541,0.002744043273912,0.318111204363445
12751.5515515516,0.707386182919204,0.500395211785002,0.177126223574152,0.031373699077641,0.355921369286071,0.126680021114472,0.005711764826691,0.496750707216752,0.030247707898735,0.005608777623928,0.339224851393965,0.01324191035697,0.742905364581346,0.740583824786897,0.002975418364441,0.322770531142152
12811.5115115115,0.710752600643694,0.505169259321775,0.181381206859475,0.0328991422018,0.360581781028784,0.13001922080989,0.006095634207804,0.501155867918455,0.031612882627975,0.005986470173621,0.343736923198821,0.013960621126805,0.745608731156901,0.743527032209129,0.003221539530845,0.32741498491012
12871.4714714715,0.714073018927708,0.509900276360531,0.185657765164913,0.03446880576603,0.365226081597735,0.133390090679235,0.00649843709731,0.505524863363729,0.033015098883516,0.006382397260893,0.348220986338667,0.014703467478425,0.748269943507911,0.746426252058599,0.00348298611535,0.332043839383
12931.4314314314,0.717348056810763,0.514588234610178,0.189954519519207,0.036082719485773,0.369853473449272,0.136791591822492,0.006920675853566,0.509857689079463,0.034454413858417,0.006797011152327,0.352676512005685,0.015470564035216,0.75088972022478,0.749282179697558,0.003760338948696,0.336656397841866
12991.3913913914,0.720578328970492,0.519233128181906,0.194270109058504,0.037740875273603,0.374463188025067,0.140222679185896,0.007362844897631,0.514154355815446,0.035930858756179,0.00723075624538,0.357103006294575,0.016262002570502,0.753468768864344,0.752095501613955,0.004054179322557,0.341251992517011
13051.3513513514,0.723764445485801,0.523834972549368,0.198603191925395,0.039443227842955,0.379054485438698,0.143682302931196,0.007825429812872,0.518414888863184,0.037444439134371,0.007684068409102,0.361500009080868,0.017077852181043,0.756007785986163,0.754866895360136,0.004365087960489,0.345829983965421
13111.3113113113,0.726907011619503,0.528393803541596,0.202952446091664,0.04118969537459,0.383626654136638,0.147169409764071,0.008308906468881,0.522639327396308,0.038995135284515,0.008157374351053,0.365867092913016,0.017918159510639,0.758507457199212,0.757597029505466,0.004693643991127,0.350389760443527
13171.2712712713,0.73000662761936,0.532909676368191,0.207316570107471,0.042980160241126,0.388179010535692,0.150682944220469,0.008813740172241,0.526827723832176,0.040582902645841,0.008651091011617,0.370203861919671,0.018782949020933,0.760968457218113,0.760286563601928,0.005040423927296,0.354930737276765
13231.2312312312,0.733063888536536,0.537382664676307,0.211694283779725,0.044814469785011,0.392710898638879,0.154221849909756,0.009340384846569,0.530980143214246,0.042207672250515,0.009165624986765,0.37450995073342,0.019672223306476,0.763391449928105,0.762936148161808,0.005406000654511,0.35945235622731
